THE	TH IH
EXPAND	IH K S P AH N D
EXPAND	AH K S P AH N D
EXPAND	IH K S P AH N T
EXTREMITIES	IH K S T R IH M IY T IY IH S
EXTREMITIES	AH K S T R AH M AH T AH AH S
EXTREMITIES	IH K S D R IH M IY D IY IH S
WEAKER	W IH AH K IH R
WEAKER	W AH AH K AH R
ECCLESIASTICAL	IH K K L IH S IY AH S T IY K AH L
ECCLESIASTICAL	AH K K L AH S AH AH S T AH K AH L
ECCLESIASTICAL	IH K K L IH S IY AH S D IY K AH L
FRATERNITY	F R AH T IH R N IY T Y
FRATERNITY	F R AH T AH R N AH T Y
FRATERNITY	F R AH D IH R N IY D Y
SOARING	S AO AH R IY N G
SOARING	S AH AH R AH N G
BRIGANDS	B R IY G AH N D S
BRIGANDS	B R AH G AH N D S
DRON	D R AO N
DRON	D R AH N
KARP	K AH R P
DELIVERANCE	D IH L IY V IH R AH N K IH
DELIVERANCE	D AH L AH V AH R AH N K AH
DEVISED	D IH V IY S IH D
DEVISED	D AH V AH S AH D
DEVISED	D IH V IY S IH T
FORCIBLY	F AO R K IY B L Y
FORCIBLY	F AH R K AH B L Y
GUARDING	G UW AH R D IY N G
GUARDING	G AH AH R D AH N G
IDENTIFIED	IY D IH N T IY F IY IH D
IDENTIFIED	AH D AH N T AH F AH AH D
IDENTIFIED	IY D IH N T IY F IY IH T
IDENTIFIED	IY D IH N D IY F IY IH D
INDEFINITELY	IY N D IH F IY N IY T IH L Y
INDEFINITELY	AH N D AH F AH N AH T AH L Y
INDEFINITELY	IY N D IH F IY N IY D IH L Y
PORK	P AO R K
PORK	P AH R K
WINNER	W IY N N IH R
WINNER	W AH N N AH R
FAYLE	F AH Y L IH
FAYLE	F AH Y L AH
MARYLAND	M AH R Y L AH N D
MARYLAND	M AH R Y L AH N T
LEGALLY	L IH G AH L L Y
LEGALLY	L AH G AH L L Y
DEFIANCE	D IH F IY AH N K IH
DEFIANCE	D AH F AH AH N K AH
OVERTURNED	AO V IH R T UW R N IH D
OVERTURNED	AH V AH R T AH R N AH D
OVERTURNED	AO V IH R T UW R N IH T
OVERTURNED	AO V IH R D UW R N IH D
RELIED	R IH L IY IH D
RELIED	R AH L AH AH D
RELIED	R IH L IY IH T
SNARES	S N AH R IH S
SNARES	S N AH R AH S
HONOURABLE	HH AO N AO UW R AH B L IH
HONOURABLE	HH AH N AH AH R AH B L AH
ESQUEMELING	IH S K UW IH M IH L IY N G
ESQUEMELING	AH S K AH AH M AH L AH N G
EARNED	IH AH R N IH D
EARNED	AH AH R N AH D
EARNED	IH AH R N IH T
KNIGHTHOOD	K N IY G HH T HH AO AO D
KNIGHTHOOD	K N AH G HH T HH AH AH D
KNIGHTHOOD	K N IY G HH T HH AO AO T
KNIGHTHOOD	K N IY G HH D HH AO AO D
SPEARS	S P IH AH R S
SPEARS	S P AH AH R S
HOARY	HH AO AH R Y
HOARY	HH AH AH R Y
PURSUERS	P UW R S UW IH R S
PURSUERS	P AH R S AH AH R S
ARMORED	AH R M AO R IH D
ARMORED	AH R M AH R AH D
ARMORED	AH R M AO R IH T
BULLETS	B UW L L IH T S
BULLETS	B AH L L AH T S
BULLETS	B UW L L IH D S
PALACES	P AH L AH K IH S
PALACES	P AH L AH K AH S
FLAGS	F L AH G S
DETACHED	D IH T AH K HH IH D
DETACHED	D AH T AH K HH AH D
DETACHED	D IH T AH K HH IH T
DETACHED	D IH D AH K HH IH D
SHERIDAN	SH IH R IY D AH N
SHERIDAN	SH AH R AH D AH N
REFEREE	R IH F IH R IH IH
REFEREE	R AH F AH R AH AH
TEMPTING	T IH M P T IY N G
TEMPTING	T AH M P T AH N G
TEMPTING	T IH M P D IY N G
CONVINCING	K AO N V IY N K IY N G
CONVINCING	K AH N V AH N K AH N G
RATIONS	R AH T IY AO N S
RATIONS	R AH T AH AH N S
RATIONS	R AH D IY AO N S
PROPORTIONED	P R AO P AO R T IY AO N IH D
PROPORTIONED	P R AH P AH R T AH AH N AH D
PROPORTIONED	P R AO P AO R T IY AO N IH T
PROPORTIONED	P R AO P AO R D IY AO N IH D
MONTERO	M AO N T IH R AO
MONTERO	M AH N T AH R AH
MONTERO	M AO N D IH R AO
POLISH	P AO L IY S HH
POLISH	P AH L AH S HH
INCOMES	IY N K AO M IH S
INCOMES	AH N K AH M AH S
HEROD'S	HH IH R AO D S
HEROD'S	HH AH R AH D S
ANTONY	AH N T AO N Y
ANTONY	AH N T AH N Y
ANTONY	AH N D AO N Y
CORDIALS	K AO R D IY AH L S
CORDIALS	K AH R D AH AH L S
COVERS	K AO V IH R S
COVERS	K AH V AH R S
FORSAKEN	F AO R S AH K IH N
FORSAKEN	F AH R S AH K AH N
BONDAGE	B AO N D AH G IH
BONDAGE	B AH N D AH G AH
PILOT'S	P IY L AO T S
PILOT'S	P AH L AH T S
PILOT'S	P IY L AO D S
FOAMING	F AO AH M IY N G
FOAMING	F AH AH M AH N G
LABORERS	L AH B AO R IH R S
LABORERS	L AH B AH R AH R S
TESTS	T IH S T S
TESTS	T AH S T S
TESTS	T IH S D S
APES	AH P IH S
APES	AH P AH S
EVOLUTION	IH V AO L UW T IY AO N
EVOLUTION	AH V AH L AH T AH AH N
EVOLUTION	IH V AO L UW D IY AO N
PENALTY	P IH N AH L T Y
PENALTY	P AH N AH L T Y
PENALTY	P IH N AH L D Y
TREASURY	T R IH AH S UW R Y
TREASURY	T R AH AH S AH R Y
DAUBENY	D AH UW B IH N Y
DAUBENY	D AH AH B AH N Y
KNIGHTLEY	K N IY G HH T L IH Y
KNIGHTLEY	K N AH G HH T L AH Y
KNIGHTLEY	K N IY G HH D L IH Y
WHOLESOME	W HH AO L IH S AO M IH
WHOLESOME	W HH AH L AH S AH M AH
SMITH'S	S M IY T HH S
SMITH'S	S M AH T HH S
SMITH'S	S M IY D HH S
REPROACHED	R IH P R AO AH K HH IH D
REPROACHED	R AH P R AH AH K HH AH D
REPROACHED	R IH P R AO AH K HH IH T
LICENSE	L IY K IH N S IH
LICENSE	L AH K AH N S AH
ALDERMEN	AH L D IH R M IH N
ALDERMEN	AH L D AH R M AH N
HINGES	HH IY N G IH S
HINGES	HH AH N G AH S
SEXES	S IH K S IH S
SEXES	S AH K S AH S
CARBON	K AH R B AO N
CARBON	K AH R B AH N
OXYGEN	AO K S Y G IH N
OXYGEN	AH K S Y G AH N
GUIDANCE	G UW IY D AH N K IH
GUIDANCE	G AH AH D AH N K AH
COMPELLING	K AO M P IH L L IY N G
COMPELLING	K AH M P AH L L AH N G
BARODIA	B AH R AO D IY AH
BARODIA	B AH R AH D AH AH
ELIZABETH'S	IH L IY Z AH B IH T HH S
ELIZABETH'S	AH L AH Z AH B AH T HH S
ELIZABETH'S	IH L IY Z AH B IH D HH S
MUFF	M UW F F
MUFF	M AH F F
THORNDYKE	TH AO R N D Y K IH
THORNDYKE	TH AH R N D Y K AH
HOP	HH AO P
ELMHURST	IH L M HH UW R S T
ELMHURST	AH L M HH AH R S T
WRIGHT	W R IY G HH T
WRIGHT	W R AH G HH T
STABILITY	S T AH B IY L IY T Y
STABILITY	S T AH B AH L AH T Y
STABILITY	S D AH B IY L IY D Y
ARRAY	AH R R AH Y
CRAGS	K R AH G S
STUPENDOUS	S T UW P IH N D AO UW S
STUPENDOUS	S T AH P AH N D AH AH S
STUPENDOUS	S D UW P IH N D AO UW S
CARDBOARD	K AH R D B AO AH R D
CARDBOARD	K AH R D B AH AH R D
CARDBOARD	K AH R D B AO AH R T
ABUSES	AH B UW S IH S
ABUSES	AH B AH S AH S
GORGE	G AO R G IH
GORGE	G AH R G AH
SURGERY	S UW R G IH R Y
SURGERY	S AH R G AH R Y
DESKS	D IH S K S
DESKS	D AH S K S
ADMIRERS	AH D M IY R IH R S
ADMIRERS	AH D M AH R AH R S
AFAR	AH F AH R
PROFESSORS	P R AO F IH S S AO R S
PROFESSORS	P R AH F AH S S AH R S
CARTRIDGES	K AH R T R IY D G IH S
CARTRIDGES	K AH R T R AH D G AH S
CARTRIDGES	K AH R D R IY D G IH S
LANTERNS	L AH N T IH R N S
LANTERNS	L AH N T AH R N S
LANTERNS	L AH N D IH R N S
PRESTIGE	P R IH S T IY G IH
PRESTIGE	P R AH S T AH G AH
PRESTIGE	P R IH S D IY G IH
FERFITCHKIN	F IH R F IY T K HH K IY N
FERFITCHKIN	F AH R F AH T K HH K AH N
FERFITCHKIN	F IH R F IY D K HH K IY N
DANIEL	D AH N IY IH L
DANIEL	D AH N AH AH L
COMPANIONSHIP	K AO M P AH N IY AO N S HH IY P
COMPANIONSHIP	K AH M P AH N AH AH N S HH AH P
BYRNE	B Y R N IH
BYRNE	B Y R N AH
TYRKER	T Y R K IH R
TYRKER	T Y R K AH R
ISAAC	IY S AH AH K
ISAAC	AH S AH AH K
FOSTERS	F AO S T IH R S
FOSTERS	F AH S T AH R S
FOSTERS	F AO S D IH R S
VALJEAN	V AH L JH IH AH N
VALJEAN	V AH L JH AH AH N
MEDITATED	M IH D IY T AH T IH D
MEDITATED	M AH D AH T AH T AH D
MEDITATED	M IH D IY T AH T IH T
MEDITATED	M IH D IY D AH D IH D
HOGGLESTOCK	HH AO G G L IH S T AO K K
HOGGLESTOCK	HH AH G G L AH S T AH K K
HOGGLESTOCK	HH AO G G L IH S D AO K K
UTENSILS	UW T IH N S IY L S
UTENSILS	AH T AH N S AH L S
UTENSILS	UW D IH N S IY L S
PHI	P HH IY
SIGMA	S IY G M AH
SIGMA	S AH G M AH
TAU	T AH UW
MARIAN	M AH R IY AH N
MARIAN	M AH R AH AH N
ARDOUR	AH R D AO UW R
ARDOUR	AH R D AH AH R
BAKERS	B AH K IH R S
BAKERS	B AH K AH R S
BABYLONIA	B AH B Y L AO N IY AH
BABYLONIA	B AH B Y L AH N AH AH
INVERASHIEL	IY N V IH R AH S HH IY IH L
INVERASHIEL	AH N V AH R AH S HH AH AH L
FOOTBALL	F AO AO T B AH L L
FOOTBALL	F AH AH T B AH L L
FOOTBALL	F AO AO D B AH L L
WARE	W AH R IH
WARE	W AH R AH
CROSBIE	K R AO S B IY IH
CROSBIE	K R AH S B AH AH
SOUTHARD	S AO UW T HH AH R D
SOUTHARD	S AH AH T HH AH R D
SOUTHARD	S AO UW T HH AH R T
SOUTHARD	S AO UW D HH AH R D
IDOL	IY D AO L
IDOL	AH D AH L
COD	K AO D
COD	K AO T
JURISPRUDENCE	JH UW R IY S P R UW D IH N K IH
JURISPRUDENCE	JH AH R AH S P R AH D AH N K AH
MICKY	M IY K K Y
MICKY	M AH K K Y
GEORGIE	G IH AO R G IY IH
GEORGIE	G AH AH R G AH AH
ADVERTISER	AH D V IH R T IY S IH R
ADVERTISER	AH D V AH R T AH S AH R
ADVERTISER	AH D V IH R D IY S IH R
JUDAH	JH UW D AH HH
JUDAH	JH AH D AH HH
MISER	M IY S IH R
MISER	M AH S AH R
ADVERTISERS	AH D V IH R T IY S IH R S
ADVERTISERS	AH D V AH R T AH S AH R S
ADVERTISERS	AH D V IH R D IY S IH R S
COLLINGWOOD	K AO L L IY N G W AO AO D
COLLINGWOOD	K AH L L AH N G W AH AH D
COLLINGWOOD	K AO L L IY N G W AO AO T
JACKAL	JH AH K K AH L
WANDS	W AH N D S
PHOTOPLAY	P HH AO T AO P L AH Y
PHOTOPLAY	P HH AH T AH P L AH Y
PHOTOPLAY	P HH AO D AO P L AH Y
ZENA	Z IH N AH
ZENA	Z AH N AH
GEMMEN	G IH M M IH N
GEMMEN	G AH M M AH N
ECONOMIC	IH K AO N AO M IY K
ECONOMIC	AH K AH N AH M AH K
POLDIE	P AO L D IY IH
POLDIE	P AH L D AH AH
CHILDS	CH IY L D S
CHILDS	CH AH L D S
LUIGI	L UW IY G IY
LUIGI	L AH AH G AH
TILDA	T IY L D AH
TILDA	T AH L D AH
ANDY	AH N D Y
CASIMIR	K AH S IY M IY R
CASIMIR	K AH S AH M AH R
BERENGARIA	B IH R IH N G AH R IY AH
BERENGARIA	B AH R AH N G AH R AH AH
OEDIPUS	AO IH D IY P UW S
OEDIPUS	AH AH D AH P AH S
LEGISLATIVE	L IH G IY S L AH T IY V IH
LEGISLATIVE	L AH G AH S L AH T AH V AH
LEGISLATIVE	L IH G IY S L AH D IY V IH
BROOKS	B R AO AO K S
BROOKS	B R AH AH K S
BORDERED	B AO R D IH R IH D
BORDERED	B AH R D AH R AH D
BORDERED	B AO R D IH R IH T
TANGLE	T AH N G L IH
TANGLE	T AH N G L AH
CURVES	K UW R V IH S
CURVES	K AH R V AH S
ADOPTING	AH D AO P T IY N G
ADOPTING	AH D AH P T AH N G
ADOPTING	AH D AO P D IY N G
ARABS	AH R AH B S
WELLS	W IH L L S
WELLS	W AH L L S
REVIVING	R IH V IY V IY N G
REVIVING	R AH V AH V AH N G
ORCHARDS	AO R K HH AH R D S
ORCHARDS	AH R K HH AH R D S
SUNDRY	S UW N D R Y
SUNDRY	S AH N D R Y
HEREABOUTS	HH IH R IH AH B AO UW T S
HEREABOUTS	HH AH R AH AH B AH AH T S
HEREABOUTS	HH IH R IH AH B AO UW D S
HELPLESSLY	HH IH L P L IH S S L Y
HELPLESSLY	HH AH L P L AH S S L Y
DUNNO	D UW N N AO
DUNNO	D AH N N AH
IMAGINING	IY M AH G IY N IY N G
IMAGINING	AH M AH G AH N AH N G
PROWLING	P R AO W L IY N G
PROWLING	P R AH W L AH N G
SLOWER	S L AO W IH R
SLOWER	S L AH W AH R
ADVISER	AH D V IY S IH R
ADVISER	AH D V AH S AH R
PECUNIARY	P IH K UW N IY AH R Y
PECUNIARY	P AH K AH N AH AH R Y
CATALOGUE	K AH T AH L AO G UW IH
CATALOGUE	K AH T AH L AH G AH AH
CATALOGUE	K AH D AH L AO G UW IH
FIDELITY	F IY D IH L IY T Y
FIDELITY	F AH D AH L AH T Y
FIDELITY	F IY D IH L IY D Y
RECOLLECTIONS	R IH K AO L L IH K T IY AO N S
RECOLLECTIONS	R AH K AH L L AH K T AH AH N S
RECOLLECTIONS	R IH K AO L L IH K D IY AO N S
AWAIT	AH W AH IY T
AWAIT	AH W AH AH T
EXAGGERATE	IH K S AH G G IH R AH T IH
EXAGGERATE	AH K S AH G G AH R AH T AH
EXAGGERATE	IH K S AH G G IH R AH D IH
DEATHS	D IH AH T HH S
DEATHS	D AH AH T HH S
DEATHS	D IH AH D HH S
TRAMPLING	T R AH M P L IY N G
TRAMPLING	T R AH M P L AH N G
DISHONOR	D IY S HH AO N AO R
DISHONOR	D AH S HH AH N AH R
FLUSHING	F L UW S HH IY N G
FLUSHING	F L AH S HH AH N G
LAUGHS	L AH UW G HH S
LAUGHS	L AH AH G HH S
JENKINS	JH IH N K IY N S
JENKINS	JH AH N K AH N S
HEARTLESS	HH IH AH R T L IH S S
HEARTLESS	HH AH AH R T L AH S S
HEARTLESS	HH IH AH R D L IH S S
APOLOGETICALLY	AH P AO L AO G IH T IY K AH L L Y
APOLOGETICALLY	AH P AH L AH G AH T AH K AH L L Y
APOLOGETICALLY	AH P AO L AO G IH D IY K AH L L Y
BETHOUGHT	B IH T HH AO UW G HH T
BETHOUGHT	B AH T HH AH AH G HH T
BETHOUGHT	B IH D HH AO UW G HH T
GARDENCOURT	G AH R D IH N K AO UW R T
GARDENCOURT	G AH R D AH N K AH AH R T
LIGHTEST	L IY G HH T IH S T
LIGHTEST	L AH G HH T AH S T
LIGHTEST	L IY G HH D IH S T
ISABEL'S	IY S AH B IH L S
ISABEL'S	AH S AH B AH L S
RECOMMENDING	R IH K AO M M IH N D IY N G
RECOMMENDING	R AH K AH M M AH N D AH N G
CONTRIBUTION	K AO N T R IY B UW T IY AO N
CONTRIBUTION	K AH N T R AH B AH T AH AH N
CONTRIBUTION	K AO N D R IY B UW D IY AO N
ENQUIRED	IH N K UW IY R IH D
ENQUIRED	AH N K AH AH R AH D
ENQUIRED	IH N K UW IY R IH T
MOULD	M AO UW L D
MOULD	M AH AH L D
MOULD	M AO UW L T
SYMPATHIES	S Y M P AH T HH IY IH S
SYMPATHIES	S Y M P AH T HH AH AH S
SYMPATHIES	S Y M P AH D HH IY IH S
TRANSFER	T R AH N S F IH R
TRANSFER	T R AH N S F AH R
BOUGH	B AO UW G HH
BOUGH	B AH AH G HH
AUNT'S	AH UW N T S
AUNT'S	AH AH N T S
AUNT'S	AH UW N D S
AMBITIONS	AH M B IY T IY AO N S
AMBITIONS	AH M B AH T AH AH N S
AMBITIONS	AH M B IY D IY AO N S
REVIVAL	R IH V IY V AH L
REVIVAL	R AH V AH V AH L
ENGLISHMEN	IH N G L IY S HH M IH N
ENGLISHMEN	AH N G L AH S HH M AH N
STATESMAN	S T AH T IH S M AH N
STATESMAN	S T AH T AH S M AH N
STATESMAN	S D AH D IH S M AH N
REFUSAL	R IH F UW S AH L
REFUSAL	R AH F AH S AH L
AVOWED	AH V AO W IH D
AVOWED	AH V AH W AH D
AVOWED	AH V AO W IH T
NAVIGATION	N AH V IY G AH T IY AO N
NAVIGATION	N AH V AH G AH T AH AH N
NAVIGATION	N AH V IY G AH D IY AO N
PROHIBITION	P R AO HH IY B IY T IY AO N
PROHIBITION	P R AH HH AH B AH T AH AH N
PROHIBITION	P R AO HH IY B IY D IY AO N
AFFRONT	AH F F R AO N T
AFFRONT	AH F F R AH N T
DEPUTY	D IH P UW T Y
DEPUTY	D AH P AH T Y
DEPUTY	D IH P UW D Y
ATHWART	AH T HH W AH R T
ATHWART	AH D HH W AH R T
AVERSE	AH V IH R S IH
AVERSE	AH V AH R S AH
SUCCESSOR	S UW K K IH S S AO R
SUCCESSOR	S AH K K AH S S AH R
CONFERENCES	K AO N F IH R IH N K IH S
CONFERENCES	K AH N F AH R AH N K AH S
COMPENSATION	K AO M P IH N S AH T IY AO N
COMPENSATION	K AH M P AH N S AH T AH AH N
COMPENSATION	K AO M P IH N S AH D IY AO N
REJECT	R IH JH IH K T
REJECT	R AH JH AH K T
UNPRECEDENTED	UW N P R IH K IH D IH N T IH D
UNPRECEDENTED	AH N P R AH K AH D AH N T AH D
UNPRECEDENTED	UW N P R IH K IH D IH N T IH T
UNPRECEDENTED	UW N P R IH K IH D IH N D IH D
CLEVERNESS	K L IH V IH R N IH S S
CLEVERNESS	K L AH V AH R N AH S S
ILLEGAL	IY L L IH G AH L
ILLEGAL	AH L L AH G AH L
PROVING	P R AO V IY N G
PROVING	P R AH V AH N G
WITHHOLD	W IY T HH HH AO L D
WITHHOLD	W AH T HH HH AH L D
WITHHOLD	W IY T HH HH AO L T
WITHHOLD	W IY D HH HH AO L D
LEMON	L IH M AO N
LEMON	L AH M AH N
PARSLEY	P AH R S L IH Y
PARSLEY	P AH R S L AH Y
ONION	AO N IY AO N
ONION	AH N AH AH N
TABLESPOONFUL	T AH B L IH S P AO AO N F UW L
TABLESPOONFUL	T AH B L AH S P AH AH N F AH L
SEASONED	S IH AH S AO N IH D
SEASONED	S AH AH S AH N AH D
SEASONED	S IH AH S AO N IH T
BENEVOLENCE	B IH N IH V AO L IH N K IH
BENEVOLENCE	B AH N AH V AH L AH N K AH
ENCHANTMENT	IH N K HH AH N T M IH N T
ENCHANTMENT	AH N K HH AH N T M AH N T
ENCHANTMENT	IH N K HH AH N D M IH N T
LINGERING	L IY N G IH R IY N G
LINGERING	L AH N G AH R AH N G
AUGHT	AH UW G HH T
AUGHT	AH AH G HH T
SURPASSING	S UW R P AH S S IY N G
SURPASSING	S AH R P AH S S AH N G
ACCIDENTAL	AH K K IY D IH N T AH L
ACCIDENTAL	AH K K AH D AH N T AH L
ACCIDENTAL	AH K K IY D IH N D AH L
ENCHANTMENTS	IH N K HH AH N T M IH N T S
ENCHANTMENTS	AH N K HH AH N T M AH N T S
ENCHANTMENTS	IH N K HH AH N D M IH N D S
PUREST	P UW R IH S T
PUREST	P AH R AH S T
HEATS	HH IH AH T S
HEATS	HH AH AH T S
HEATS	HH IH AH D S
PERCEPTIONS	P IH R K IH P T IY AO N S
PERCEPTIONS	P AH R K AH P T AH AH N S
PERCEPTIONS	P IH R K IH P D IY AO N S
VERSE	V IH R S IH
VERSE	V AH R S AH
GATHERCOLE	G AH T HH IH R K AO L IH
GATHERCOLE	G AH T HH AH R K AH L AH
GATHERCOLE	G AH D HH IH R K AO L IH
POTENT	P AO T IH N T
POTENT	P AH T AH N T
POTENT	P AO D IH N T
DOWNCAST	D AO W N K AH S T
DOWNCAST	D AH W N K AH S T
SUGGESTS	S UW G G IH S T S
SUGGESTS	S AH G G AH S T S
SUGGESTS	S UW G G IH S D S
PLANE	P L AH N IH
PLANE	P L AH N AH
DETAIN	D IH T AH IY N
DETAIN	D AH T AH AH N
DETAIN	D IH D AH IY N
RUG	R UW G
SMILINGLY	S M IY L IY N G L Y
SMILINGLY	S M AH L AH N G L Y
SOCKET	S AO K K IH T
SOCKET	S AH K K AH T
GLOSSY	G L AO S S Y
GLOSSY	G L AH S S Y
DISCERNMENT	D IY S K IH R N M IH N T
DISCERNMENT	D AH S K AH R N M AH N T
SYMPATHETICALLY	S Y M P AH T HH IH T IY K AH L L Y
SYMPATHETICALLY	S Y M P AH T HH AH T AH K AH L L Y
SYMPATHETICALLY	S Y M P AH D HH IH D IY K AH L L Y
CREEPS	K R IH IH P S
CREEPS	K R AH AH P S
SOILED	S AO IY L IH D
SOILED	S AH AH L AH D
SOILED	S AO IY L IH T
GUNPOWDER	G UW N P AO W D IH R
GUNPOWDER	G AH N P AH W D AH R
SHINY	SH IY N Y
SHINY	SH AH N Y
TIERRA	T IY IH R R AH
TIERRA	T AH AH R R AH
FUEGO	F UW IH G AO
FUEGO	F AH AH G AH
SLAMMED	S L AH M M IH D
SLAMMED	S L AH M M AH D
SLAMMED	S L AH M M IH T
OBLONG	AO B L AO N G
OBLONG	AH B L AH N G
ALLUSIONS	AH L L UW S IY AO N S
ALLUSIONS	AH L L AH S AH AH N S
DEFENDING	D IH F IH N D IY N G
DEFENDING	D AH F AH N D AH N G
SENTIMENTAL	S IH N T IY M IH N T AH L
SENTIMENTAL	S AH N T AH M AH N T AH L
SENTIMENTAL	S IH N D IY M IH N D AH L
EXTRAVAGANCE	IH K S T R AH V AH G AH N K IH
EXTRAVAGANCE	AH K S T R AH V AH G AH N K AH
EXTRAVAGANCE	IH K S D R AH V AH G AH N K IH
TREATING	T R IH AH T IY N G
TREATING	T R AH AH T AH N G
TREATING	T R IH AH D IY N G
EXERCISED	IH K S IH R K IY S IH D
EXERCISED	AH K S AH R K AH S AH D
EXERCISED	IH K S IH R K IY S IH T
INDIFFERENTLY	IY N D IY F F IH R IH N T L Y
INDIFFERENTLY	AH N D AH F F AH R AH N T L Y
INDIFFERENTLY	IY N D IY F F IH R IH N D L Y
HEATED	HH IH AH T IH D
HEATED	HH AH AH T AH D
HEATED	HH IH AH T IH T
HEATED	HH IH AH D IH D
HUMBUG	HH UW M B UW G
HUMBUG	HH AH M B AH G
INDISPENSABLE	IY N D IY S P IH N S AH B L IH
INDISPENSABLE	AH N D AH S P AH N S AH B L AH
ABILITIES	AH B IY L IY T IY IH S
ABILITIES	AH B AH L AH T AH AH S
ABILITIES	AH B IY L IY D IY IH S
UNGRATEFUL	UW N G R AH T IH F UW L
UNGRATEFUL	AH N G R AH T AH F AH L
UNGRATEFUL	UW N G R AH D IH F UW L
RURAL	R UW R AH L
RURAL	R AH R AH L
PARKS	P AH R K S
POSTPONE	P AO S T P AO N IH
POSTPONE	P AH S T P AH N AH
POSTPONE	P AO S D P AO N IH
FEASTS	F IH AH S T S
FEASTS	F AH AH S T S
FEASTS	F IH AH S D S
FLARE	F L AH R IH
FLARE	F L AH R AH
EARNING	IH AH R N IY N G
EARNING	AH AH R N AH N G
GALLOPED	G AH L L AO P IH D
GALLOPED	G AH L L AH P AH D
GALLOPED	G AH L L AO P IH T
CROAKED	K R AO AH K IH D
CROAKED	K R AH AH K AH D
CROAKED	K R AO AH K IH T
PARTNERS	P AH R T N IH R S
PARTNERS	P AH R T N AH R S
PARTNERS	P AH R D N IH R S
MANE	M AH N IH
MANE	M AH N AH
WONDERINGLY	W AO N D IH R IY N G L Y
WONDERINGLY	W AH N D AH R AH N G L Y
COURTSHIP	K AO UW R T S HH IY P
COURTSHIP	K AH AH R T S HH AH P
COURTSHIP	K AO UW R D S HH IY P
COVETED	K AO V IH T IH D
COVETED	K AH V AH T AH D
COVETED	K AO V IH T IH T
COVETED	K AO V IH D IH D
HAZY	HH AH Z Y
TRAITS	T R AH IY T S
TRAITS	T R AH AH T S
TRAITS	T R AH IY D S
ATTRACTS	AH T T R AH K T S
ATTRACTS	AH D D R AH K D S
COMPROMISE	K AO M P R AO M IY S IH
COMPROMISE	K AH M P R AH M AH S AH
ROLE	R AO L IH
ROLE	R AH L AH
WEIGH	W IH IY G HH
WEIGH	W AH AH G HH
DELICATELY	D IH L IY K AH T IH L Y
DELICATELY	D AH L AH K AH T AH L Y
DELICATELY	D IH L IY K AH D IH L Y
SPOUSE	S P AO UW S IH
SPOUSE	S P AH AH S AH
CRAVING	K R AH V IY N G
CRAVING	K R AH V AH N G
RESENTFUL	R IH S IH N T F UW L
RESENTFUL	R AH S AH N T F AH L
RESENTFUL	R IH S IH N D F UW L
COUPLES	K AO UW P L IH S
COUPLES	K AH AH P L AH S
GRUMBLING	G R UW M B L IY N G
GRUMBLING	G R AH M B L AH N G
PREVENTING	P R IH V IH N T IY N G
PREVENTING	P R AH V AH N T AH N G
PREVENTING	P R IH V IH N D IY N G
HUSBANDS	HH UW S B AH N D S
HUSBANDS	HH AH S B AH N D S
UNCHANGED	UW N K HH AH N G IH D
UNCHANGED	AH N K HH AH N G AH D
UNCHANGED	UW N K HH AH N G IH T
BERTH	B IH R T HH
BERTH	B AH R T HH
BERTH	B IH R D HH
MOSQUITO	M AO S K UW IY T AO
MOSQUITO	M AH S K AH AH T AH
MOSQUITO	M AO S K UW IY D AO
ALDERMAN	AH L D IH R M AH N
ALDERMAN	AH L D AH R M AH N
BASEBALL	B AH S IH B AH L L
BASEBALL	B AH S AH B AH L L
SKIRT	S K IY R T
SKIRT	S K AH R T
BONNETS	B AO N N IH T S
BONNETS	B AH N N AH T S
BONNETS	B AO N N IH D S
EASTER	IH AH S T IH R
EASTER	AH AH S T AH R
EASTER	IH AH S D IH R
PERRY	P IH R R Y
PERRY	P AH R R Y
RIDDEN	R IY D D IH N
RIDDEN	R AH D D AH N
SCOTT	S K AO T T
SCOTT	S K AH T T
SCOTT	S K AO D T
SUBSCRIBED	S UW B S K R IY B IH D
SUBSCRIBED	S AH B S K R AH B AH D
SUBSCRIBED	S UW B S K R IY B IH T
SHIVERING	SH IY V IH R IY N G
SHIVERING	SH AH V AH R AH N G
UNDERBRUSH	UW N D IH R B R UW S HH
UNDERBRUSH	AH N D AH R B R AH S HH
CROWDING	K R AO W D IY N G
CROWDING	K R AH W D AH N G
LESSEN	L IH S S IH N
LESSEN	L AH S S AH N
RAWLINS	R AH W L IY N S
RAWLINS	R AH W L AH N S
BOBBY'S	B AO B B Y S
BOBBY'S	B AH B B Y S
CEDARS	K IH D AH R S
CEDARS	K AH D AH R S
LOOMED	L AO AO M IH D
LOOMED	L AH AH M AH D
LOOMED	L AO AO M IH T
STUMBLED	S T UW M B L IH D
STUMBLED	S T AH M B L AH D
STUMBLED	S T UW M B L IH T
STUMBLED	S D UW M B L IH D
DISPLAYING	D IY S P L AH Y IY N G
DISPLAYING	D AH S P L AH Y AH N G
REALIZATION	R IH AH L IY Z AH T IY AO N
REALIZATION	R AH AH L AH Z AH T AH AH N
REALIZATION	R IH AH L IY Z AH D IY AO N
MANTEL	M AH N T IH L
MANTEL	M AH N T AH L
MANTEL	M AH N D IH L
TRANSIENT	T R AH N S IY IH N T
TRANSIENT	T R AH N S AH AH N T
ECONOMICAL	IH K AO N AO M IY K AH L
