<SIL>	SIL
ICEBERGS	G_I G_C G_E G_B G_E G_R G_G G_S
ICELANDIC	G_I G_C G_E G_L G_A G_N G_D G_I G_C
ICY	G_I G_C G_Y
IDEA	G_I G_D G_E G_A
IDEAL	G_I G_D G_E G_A G_L
IDEALISATION	G_I G_D G_E G_A G_L G_I G_S G_A G_T G_I G_O G_N
IDEAS	G_I G_D G_E G_A G_S
IDENTICAL	G_I G_D G_E G_N G_T G_I G_C G_A G_L
IDIOM	G_I G_D G_I G_O G_M
IDIOT	G_I G_D G_I G_O G_T
IDLE	G_I G_D G_L G_E
IDYLLS	G_I G_D G_Y G_L G_L G_S
IF	G_I G_F
IGNORANCE	G_I G_G G_N G_O G_R G_A G_N G_C G_E
IGNORANT	G_I G_G G_N G_O G_R G_A G_N G_T
IL	G_I G_L
ILL	G_I G_L G_L
ILLINOIS	G_I G_L G_L G_I G_N G_O G_I G_S
ILLUMINATED	G_I G_L G_L G_U G_M G_I G_N G_A G_T G_E G_D
ILLUSION	G_I G_L G_L G_U G_S G_I G_O G_N
ILLUSIONS	G_I G_L G_L G_U G_S G_I G_O G_N G_S
ILLUSTRATION	G_I G_L G_L G_U G_S G_T G_R G_A G_T G_I G_O G_N
IMAGE	G_I G_M G_A G_G G_E
IMAGINABLE	G_I G_M G_A G_G G_I G_N G_A G_B G_L G_E
IMAGINATIVE	G_I G_M G_A G_G G_I G_N G_A G_T G_I G_V G_E
IMAGINE	G_I G_M G_A G_G G_I G_N G_E
IMAGINED	G_I G_M G_A G_G G_I G_N G_E G_D
IMITATE	G_I G_M G_I G_T G_A G_T G_E
IMITATED	G_I G_M G_I G_T G_A G_T G_E G_D
IMMEDIATE	G_I G_M G_M G_E G_D G_I G_A G_T G_E
IMMEDIATELY	G_I G_M G_M G_E G_D G_I G_A G_T G_E G_L G_Y
IMMENSE	G_I G_M G_M G_E G_N G_S G_E
IMMOBILITY	G_I G_M G_M G_O G_B G_I G_L G_I G_T G_Y
IMMORALITY	G_I G_M G_M G_O G_R G_A G_L G_I G_T G_Y
IMMORTAL	G_I G_M G_M G_O G_R G_T G_A G_L
IMMORTALITY	G_I G_M G_M G_O G_R G_T G_A G_L G_I G_T G_Y
IMMUNITY	G_I G_M G_M G_U G_N G_I G_T G_Y
IMPALE	G_I G_M G_P G_A G_L G_E
IMPARA	G_I G_M G_P G_A G_R G_A
IMPASSIBILITY	G_I G_M G_P G_A G_S G_S G_I G_B G_I G_L G_I G_T G_Y
IMPASSIBLE	G_I G_M G_P G_A G_S G_S G_I G_B G_L G_E
IMPATIENT	G_I G_M G_P G_A G_T G_I G_E G_N G_T
IMPATIENTLY	G_I G_M G_P G_A G_T G_I G_E G_N G_T G_L G_Y
IMPEDED	G_I G_M G_P G_E G_D G_E G_D
IMPELLED	G_I G_M G_P G_E G_L G_L G_E G_D
IMPENDING	G_I G_M G_P G_E G_N G_D G_I G_N G_G
IMPENETRABLE	G_I G_M G_P G_E G_N G_E G_T G_R G_A G_B G_L G_E
IMPERFECT	G_I G_M G_P G_E G_R G_F G_E G_C G_T
IMPERIAL	G_I G_M G_P G_E G_R G_I G_A G_L
IMPERIOUS	G_I G_M G_P G_E G_R G_I G_O G_U G_S
IMPERTINENCE	G_I G_M G_P G_E G_R G_T G_I G_N G_E G_N G_C G_E
IMPERTINENT	G_I G_M G_P G_E G_R G_T G_I G_N G_E G_N G_T
IMPERVIOUS	G_I G_M G_P G_E G_R G_V G_I G_O G_U G_S
IMPETUOSITY	G_I G_M G_P G_E G_T G_U G_O G_S G_I G_T G_Y
IMPETUOUS	G_I G_M G_P G_E G_T G_U G_O G_U G_S
IMPETUOUSLY	G_I G_M G_P G_E G_T G_U G_O G_U G_S G_L G_Y
IMPLACABLE	G_I G_M G_P G_L G_A G_C G_A G_B G_L G_E
IMPLEMENTS	G_I G_M G_P G_L G_E G_M G_E G_N G_T G_S
IMPLICITLY	G_I G_M G_P G_L G_I G_C G_I G_T G_L G_Y
IMPLIES	G_I G_M G_P G_L G_I G_E G_S
IMPORTANCE	G_I G_M G_P G_O G_R G_T G_A G_N G_C G_E
IMPORTANT	G_I G_M G_P G_O G_R G_T G_A G_N G_T
IMPOSE	G_I G_M G_P G_O G_S G_E
IMPOSES	G_I G_M G_P G_O G_S G_E G_S
IMPOSING	G_I G_M G_P G_O G_S G_I G_N G_G
IMPOSSIBLE	G_I G_M G_P G_O G_S G_S G_I G_B G_L G_E
IMPOST	G_I G_M G_P G_O G_S G_T
IMPOSTORS	G_I G_M G_P G_O G_S G_T G_O G_R G_S
IMPOVERISHED	G_I G_M G_P G_O G_V G_E G_R G_I G_S G_H G_E G_D
IMPRACTICABLE	G_I G_M G_P G_R G_A G_C G_T G_I G_C G_A G_B G_L G_E
IMPREGNATED	G_I G_M G_P G_R G_E G_G G_N G_A G_T G_E G_D
IMPRESSION	G_I G_M G_P G_R G_E G_S G_S G_I G_O G_N
IMPROBABLE	G_I G_M G_P G_R G_O G_B G_A G_B G_L G_E
IMPROVE	G_I G_M G_P G_R G_O G_V G_E
IMPROVED	G_I G_M G_P G_R G_O G_V G_E G_D
IMPROVIDENCE	G_I G_M G_P G_R G_O G_V G_I G_D G_E G_N G_C G_E
IMPULSE	G_I G_M G_P G_U G_L G_S G_E
IMPULSES	G_I G_M G_P G_U G_L G_S G_E G_S
IMPULSIVE	G_I G_M G_P G_U G_L G_S G_I G_V G_E
IMPUNITY	G_I G_M G_P G_U G_N G_I G_T G_Y
IMPURE	G_I G_M G_P G_U G_R G_E
IN	G_I G_N
INCARNATION	G_I G_N G_C G_A G_R G_N G_A G_T G_I G_O G_N
INCH	G_I G_N G_C G_H
INCHES	G_I G_N G_C G_H G_E G_S
INCIDENT	G_I G_N G_C G_I G_D G_E G_N G_T
INCIDENTS	G_I G_N G_C G_I G_D G_E G_N G_T G_S
INCIPIENT	G_I G_N G_C G_I G_P G_I G_E G_N G_T
INCISIONS	G_I G_N G_C G_I G_S G_I G_O G_N G_S
INCLINED	G_I G_N G_C G_L G_I G_N G_E G_D
INCLOSURE	G_I G_N G_C G_L G_O G_S G_U G_R G_E
INCONSISTENT	G_I G_N G_C G_O G_N G_S G_I G_S G_T G_E G_N G_T
INCONVENIENCE	G_I G_N G_C G_O G_N G_V G_E G_N G_I G_E G_N G_C G_E
INCORRUPTIBLE	G_I G_N G_C G_O G_R G_R G_U G_P G_T G_I G_B G_L G_E
INCREASE	G_I G_N G_C G_R G_E G_A G_S G_E
INCREASED	G_I G_N G_C G_R G_E G_A G_S G_E G_D
INCREDIBLE	G_I G_N G_C G_R G_E G_D G_I G_B G_L G_E
INDEBTED	G_I G_N G_D G_E G_B G_T G_E G_D
INDECISION	G_I G_N G_D G_E G_C G_I G_S G_I G_O G_N
INDEED	G_I G_N G_D G_E G_E G_D
INDEFATIGABLE	G_I G_N G_D G_E G_F G_A G_T G_I G_G G_A G_B G_L G_E
INDEPENDENCE	G_I G_N G_D G_E G_P G_E G_N G_D G_E G_N G_C G_E
INDESCRIBABLE	G_I G_N G_D G_E G_S G_C G_R G_I G_B G_A G_B G_L G_E
INDESCRIBABLY	G_I G_N G_D G_E G_S G_C G_R G_I G_B G_A G_B G_L G_Y
INDIA	G_I G_N G_D G_I G_A
INDIAN	G_I G_N G_D G_I G_A G_N
INDIANS	G_I G_N G_D G_I G_A G_N G_S
INDICATE	G_I G_N G_D G_I G_C G_A G_T G_E
INDICATED	G_I G_N G_D G_I G_C G_A G_T G_E G_D
INDIES	G_I G_N G_D G_I G_E G_S
INDIFFERENCE	G_I G_N G_D G_I G_F G_F G_E G_R G_E G_N G_C G_E
INDIFFERENT	G_I G_N G_D G_I G_F G_F G_E G_R G_E G_N G_T
INDIGNANT	G_I G_N G_D G_I G_G G_N G_A G_N G_T
INDIGNATION	G_I G_N G_D G_I G_G G_N G_A G_T G_I G_O G_N
INDISPENSABLE	G_I G_N G_D G_I G_S G_P G_E G_N G_S G_A G_B G_L G_E
INDISSOLUBLE	G_I G_N G_D G_I G_S G_S G_O G_L G_U G_B G_L G_E
INDISTINCT	G_I G_N G_D G_I G_S G_T G_I G_N G_C G_T
INDISTINCTLY	G_I G_N G_D G_I G_S G_T G_I G_N G_C G_T G_L G_Y
INDIVIDUAL	G_I G_N G_D G_I G_V G_I G_D G_U G_A G_L
INDIVIDUALS	G_I G_N G_D G_I G_V G_I G_D G_U G_A G_L G_S
INDUCED	G_I G_N G_D G_U G_C G_E G_D
INDULGE	G_I G_N G_D G_U G_L G_G G_E
INDUSTRIOUS	G_I G_N G_D G_U G_S G_T G_R G_I G_O G_U G_S
INEFFABLE	G_I G_N G_E G_F G_F G_A G_B G_L G_E
INEVITABLE	G_I G_N G_E G_V G_I G_T G_A G_B G_L G_E
INEVITABLY	G_I G_N G_E G_V G_I G_T G_A G_B G_L G_Y
INEXHAUSTED	G_I G_N G_E G_X G_H G_A G_U G_S G_T G_E G_D
INEXHAUSTIBLE	G_I G_N G_E G_X G_H G_A G_U G_S G_T G_I G_B G_L G_E
INEXPLICABLE	G_I G_N G_E G_X G_P G_L G_I G_C G_A G_B G_L G_E
INEXPRESSIBLE	G_I G_N G_E G_X G_P G_R G_E G_S G_S G_I G_B G_L G_E
INEXTRICABLY	G_I G_N G_E G_X G_T G_R G_I G_C G_A G_B G_L G_Y
INFAMOUS	G_I G_N G_F G_A G_M G_O G_U G_S
INFANCY	G_I G_N G_F G_A G_N G_C G_Y
INFANT	G_I G_N G_F G_A G_N G_T
INFANTS	G_I G_N G_F G_A G_N G_T G_S
INFATUATED	G_I G_N G_F G_A G_T G_U G_A G_T G_E G_D
INFECTED	G_I G_N G_F G_E G_C G_T G_E G_D
INFER	G_I G_N G_F G_E G_R
INFERENCES	G_I G_N G_F G_E G_R G_E G_N G_C G_E G_S
INFERIOR	G_I G_N G_F G_E G_R G_I G_O G_R
INFERIORS	G_I G_N G_F G_E G_R G_I G_O G_R G_S
INFERNAL	G_I G_N G_F G_E G_R G_N G_A G_L
INFINITE	G_I G_N G_F G_I G_N G_I G_T G_E
INFLUENCE	G_I G_N G_F G_L G_U G_E G_N G_C G_E
INFORM	G_I G_N G_F G_O G_R G_M
INFORMANT	G_I G_N G_F G_O G_R G_M G_A G_N G_T
INFORMATION	G_I G_N G_F G_O G_R G_M G_A G_T G_I G_O G_N
INFORMING	G_I G_N G_F G_O G_R G_M G_I G_N G_G
INFRINGES	G_I G_N G_F G_R G_I G_N G_G G_E G_S
INFUSED	G_I G_N G_F G_U G_S G_E G_D
INFUSES	G_I G_N G_F G_U G_S G_E G_S
INGRAINED	G_I G_N G_G G_R G_A G_I G_N G_E G_D
INGRATIATION	G_I G_N G_G G_R G_A G_T G_I G_A G_T G_I G_O G_N
INGREDIENTS	G_I G_N G_G G_R G_E G_D G_I G_E G_N G_T G_S
INHABIT	G_I G_N G_H G_A G_B G_I G_T
INHABITANTS	G_I G_N G_H G_A G_B G_I G_T G_A G_N G_T G_S
INHABITED	G_I G_N G_H G_A G_B G_I G_T G_E G_D
INHALE	G_I G_N G_H G_A G_L G_E
INHERENT	G_I G_N G_H G_E G_R G_E G_N G_T
INHERITED	G_I G_N G_H G_E G_R G_I G_T G_E G_D
INIQUITOUS	G_I G_N G_I G_Q G_U G_I G_T G_O G_U G_S
INK	G_I G_N G_K
INKLING	G_I G_N G_K G_L G_I G_N G_G
INLAND	G_I G_N G_L G_A G_N G_D
INMOST	G_I G_N G_M G_O G_S G_T
INN	G_I G_N G_N
INNOCENCE	G_I G_N G_N G_O G_C G_E G_N G_C G_E
INNOCENT	G_I G_N G_N G_O G_C G_E G_N G_T
INNOCENTLY	G_I G_N G_N G_O G_C G_E G_N G_T G_L G_Y
INQUIRED	G_I G_N G_Q G_U G_I G_R G_E G_D
INQUIRIES	G_I G_N G_Q G_U G_I G_R G_I G_E G_S
INQUIRY	G_I G_N G_Q G_U G_I G_R G_Y
INQUISITION	G_I G_N G_Q G_U G_I G_S G_I G_T G_I G_O G_N
INROAD	G_I G_N G_R G_O G_A G_D
INSATIABLE	G_I G_N G_S G_A G_T G_I G_A G_B G_L G_E
INSERTING	G_I G_N G_S G_E G_R G_T G_I G_N G_G
INSIDE	G_I G_N G_S G_I G_D G_E
INSIGHT	G_I G_N G_S G_I G_G G_H G_T
INSIGNIFICANT	G_I G_N G_S G_I G_G G_N G_I G_F G_I G_C G_A G_N G_T
INSIST	G_I G_N G_S G_I G_S G_T
INSISTED	G_I G_N G_S G_I G_S G_T G_E G_D
INSISTENCY	G_I G_N G_S G_I G_S G_T G_E G_N G_C G_Y
INSPIRED	G_I G_N G_S G_P G_I G_R G_E G_D
INSTALMENTS	G_I G_N G_S G_T G_A G_L G_M G_E G_N G_T G_S
INSTANCE	G_I G_N G_S G_T G_A G_N G_C G_E
INSTANCES	G_I G_N G_S G_T G_A G_N G_C G_E G_S
INSTANT	G_I G_N G_S G_T G_A G_N G_T
INSTANTLY	G_I G_N G_S G_T G_A G_N G_T G_L G_Y
INSTEAD	G_I G_N G_S G_T G_E G_A G_D
INSTILL	G_I G_N G_S G_T G_I G_L G_L
INSTINCT	G_I G_N G_S G_T G_I G_N G_C G_T
INSTINCTIVE	G_I G_N G_S G_T G_I G_N G_C G_T G_I G_V G_E
INSTITUTION	G_I G_N G_S G_T G_I G_T G_U G_T G_I G_O G_N
INSTITUTIONS	G_I G_N G_S G_T G_I G_T G_U G_T G_I G_O G_N G_S
INSTRUCTED	G_I G_N G_S G_T G_R G_U G_C G_T G_E G_D
INSTRUCTION	G_I G_N G_S G_T G_R G_U G_C G_T G_I G_O G_N
INSTRUMENT	G_I G_N G_S G_T G_R G_U G_M G_E G_N G_T
INSTRUMENTS	G_I G_N G_S G_T G_R G_U G_M G_E G_N G_T G_S
INSULT	G_I G_N G_S G_U G_L G_T
INSUPERABLE	G_I G_N G_S G_U G_P G_E G_R G_A G_B G_L G_E
INTANGIBLE	G_I G_N G_T G_A G_N G_G G_I G_B G_L G_E
INTELLECT	G_I G_N G_T G_E G_L G_L G_E G_C G_T
INTELLECTUAL	G_I G_N G_T G_E G_L G_L G_E G_C G_T G_U G_A G_L
INTELLIGENCE	G_I G_N G_T G_E G_L G_L G_I G_G G_E G_N G_C G_E
INTELLIGENT	G_I G_N G_T G_E G_L G_L G_I G_G G_E G_N G_T
INTEND	G_I G_N G_T G_E G_N G_D
INTENDED	G_I G_N G_T G_E G_N G_D G_E G_D
INTENSE	G_I G_N G_T G_E G_N G_S G_E
INTENSITY	G_I G_N G_T G_E G_N G_S G_I G_T G_Y
INTENTION	G_I G_N G_T G_E G_N G_T G_I G_O G_N
INTENTLY	G_I G_N G_T G_E G_N G_T G_L G_Y
INTERCOURSE	G_I G_N G_T G_E G_R G_C G_O G_U G_R G_S G_E
INTERDICT	G_I G_N G_T G_E G_R G_D G_I G_C G_T
INTERDICTED	G_I G_N G_T G_E G_R G_D G_I G_C G_T G_E G_D
INTEREST	G_I G_N G_T G_E G_R G_E G_S G_T
INTERESTED	G_I G_N G_T G_E G_R G_E G_S G_T G_E G_D
INTERESTING	G_I G_N G_T G_E G_R G_E G_S G_T G_I G_N G_G
INTERESTS	G_I G_N G_T G_E G_R G_E G_S G_T G_S
INTERFERE	G_I G_N G_T G_E G_R G_F G_E G_R G_E
INTERIOR	G_I G_N G_T G_E G_R G_I G_O G_R
INTERMEZZO	G_I G_N G_T G_E G_R G_M G_E G_Z G_Z G_O
INTERPRET	G_I G_N G_T G_E G_R G_P G_R G_E G_T
INTERRED	G_I G_N G_T G_E G_R G_R G_E G_D
INTERRUPTED	G_I G_N G_T G_E G_R G_R G_U G_P G_T G_E G_D
INTERVAL	G_I G_N G_T G_E G_R G_V G_A G_L
INTERVALS	G_I G_N G_T G_E G_R G_V G_A G_L G_S
INTERVIEW	G_I G_N G_T G_E G_R G_V G_I G_E G_W
INTERWEAVE	G_I G_N G_T G_E G_R G_W G_E G_A G_V G_E
INTIMATE	G_I G_N G_T G_I G_M G_A G_T G_E
INTIMATELY	G_I G_N G_T G_I G_M G_A G_T G_E G_L G_Y
INTIMIDATED	G_I G_N G_T G_I G_M G_I G_D G_A G_T G_E G_D
INTO	G_I G_N G_T G_O
INTOLERABLE	G_I G_N G_T G_O G_L G_E G_R G_A G_B G_L G_E
INTRINSIC	G_I G_N G_T G_R G_I G_N G_S G_I G_C
INTRODUCE	G_I G_N G_T G_R G_O G_D G_U G_C G_E
INTRODUCED	G_I G_N G_T G_R G_O G_D G_U G_C G_E G_D
INTRODUCES	G_I G_N G_T G_R G_O G_D G_U G_C G_E G_S
INTRODUCING	G_I G_N G_T G_R G_O G_D G_U G_C G_I G_N G_G
INTRUDER	G_I G_N G_T G_R G_U G_D G_E G_R
INTRUDERS	G_I G_N G_T G_R G_U G_D G_E G_R G_S
INTUITION	G_I G_N G_T G_U G_I G_T G_I G_O G_N
INTUITIONS	G_I G_N G_T G_U G_I G_T G_I G_O G_N G_S
INURED	G_I G_N G_U G_R G_E G_D
INVADED	G_I G_N G_V G_A G_D G_E G_D
INVADERS	G_I G_N G_V G_A G_D G_E G_R G_S
INVADING	G_I G_N G_V G_A G_D G_I G_N G_G
INVALID	G_I G_N G_V G_A G_L G_I G_D
INVARIABLY	G_I G_N G_V G_A G_R G_I G_A G_B G_L G_Y
INVENTING	G_I G_N G_V G_E G_N G_T G_I G_N G_G
INVENTOR	G_I G_N G_V G_E G_N G_T G_O G_R
INVISIBLE	G_I G_N G_V G_I G_S G_I G_B G_L G_E
INVITATION	G_I G_N G_V G_I G_T G_A G_T G_I G_O G_N
INVITED	G_I G_N G_V G_I G_T G_E G_D
IONA	G_I G_O G_N G_A
IOTA	G_I G_O G_T G_A
IREFUL	G_I G_R G_E G_F G_U G_L
IRELAND	G_I G_R G_E G_L G_A G_N G_D
IRISH	G_I G_R G_I G_S G_H
IROLG	G_I G_R G_O G_L G_G
IRON	G_I G_R G_O G_N
IRRELEVANTLY	G_I G_R G_R G_E G_L G_E G_V G_A G_N G_T G_L G_Y
IRRESISTIBLE	G_I G_R G_R G_E G_S G_I G_S G_T G_I G_B G_L G_E
IS	G_I G_S
ISIDORE	G_I G_S G_I G_D G_O G_R G_E
ISLAND	G_I G_S G_L G_A G_N G_D
ISLANDS	G_I G_S G_L G_A G_N G_D G_S
ISN'T	G_I G_S G_N G_T
ISOLATED	G_I G_S G_O G_L G_A G_T G_E G_D
ISOLATION	G_I G_S G_O G_L G_A G_T G_I G_O G_N
ISSUE	G_I G_S G_S G_U G_E
ISSUED	G_I G_S G_S G_U G_E G_D
ISSUES	G_I G_S G_S G_U G_E G_S
IT	G_I G_T
IT'S	G_I G_T G_S
ITALIAN	G_I G_T G_A G_L G_I G_A G_N
ITALIANS	G_I G_T G_A G_L G_I G_A G_N G_S
ITALY	G_I G_T G_A G_L G_Y
ITHACA	G_I G_T G_H G_A G_C G_A
ITINERANT	G_I G_T G_I G_N G_E G_R G_A G_N G_T
ITS	G_I G_T G_S
ITSELF	G_I G_T G_S G_E G_L G_F
JACK'S	G_J G_A G_C G_K G_S
JACKDAW	G_J G_A G_C G_K G_D G_A G_W
JACKET	G_J G_A G_C G_K G_E G_T
JAGGED	G_J G_A G_G G_G G_E G_D
JAILER	G_J G_A G_I G_L G_E G_R
JAKE	G_J G_A G_K G_E
JAM	G_J G_A G_M
JAMAICA	G_J G_A G_M G_A G_I G_C G_A
JAMES	G_J G_A G_M G_E G_S
JANE	G_J G_A G_N G_E
JANUARY	G_J G_A G_N G_U G_A G_R G_Y
JAR	G_J G_A G_R
JARS	G_J G_A G_R G_S
JAWS	G_J G_A G_W G_S
JEALOUSIES	G_J G_E G_A G_L G_O G_U G_S G_I G_E G_S
JEALOUSY	G_J G_E G_A G_L G_O G_U G_S G_Y
JEAN	G_J G_E G_A G_N
JEERING	G_J G_E G_E G_R G_I G_N G_G
JEM	G_J G_E G_M
JEM'S	G_J G_E G_M G_S
JERSEY	G_J G_E G_R G_S G_E G_Y
JESSE	G_J G_E G_S G_S G_E
JESUITS	G_J G_E G_S G_U G_I G_T G_S
JESUS	G_J G_E G_S G_U G_S
JET	G_J G_E G_T
JETTY	G_J G_E G_T G_T G_Y
JEWS	G_J G_E G_W G_S
JIG	G_J G_I G_G
JIM	G_J G_I G_M
JIM'S	G_J G_I G_M G_S
JIMMIE	G_J G_I G_M G_M G_I G_E
JIMMY	G_J G_I G_M G_M G_Y
JINGO	G_J G_I G_N G_G G_O
JOAN	G_J G_O G_A G_N
JOB	G_J G_O G_B
JOE	G_J G_O G_E
JOHN	G_J G_O G_H G_N
JOHNNY	G_J G_O G_H G_N G_N G_Y
JOHNSTON	G_J G_O G_H G_N G_S G_T G_O G_N
JOIN	G_J G_O G_I G_N
JOINED	G_J G_O G_I G_N G_E G_D
JOINT	G_J G_O G_I G_N G_T
JOINTED	G_J G_O G_I G_N G_T G_E G_D
JOINTLY	G_J G_O G_I G_N G_T G_L G_Y
JOINTS	G_J G_O G_I G_N G_T G_S
JOKES	G_J G_O G_K G_E G_S
JORDAN	G_J G_O G_R G_D G_A G_N
JOSEPH	G_J G_O G_S G_E G_P G_H
JOURNAL	G_J G_O G_U G_R G_N G_A G_L
JOURNALS	G_J G_O G_U G_R G_N G_A G_L G_S
JOURNEY	G_J G_O G_U G_R G_N G_E G_Y
JOURNEY'S	G_J G_O G_U G_R G_N G_E G_Y G_S
JOURNEYING	G_J G_O G_U G_R G_N G_E G_Y G_I G_N G_G
JOY	G_J G_O G_Y
JOYFULLY	G_J G_O G_Y G_F G_U G_L G_L G_Y
JOYOUS	G_J G_O G_Y G_O G_U G_S
JOYOUSLY	G_J G_O G_Y G_O G_U G_S G_L G_Y
JOYS	G_J G_O G_Y G_S
JUDGE	G_J G_U G_D G_G G_E
JUDGED	G_J G_U G_D G_G G_E G_D
JUDGING	G_J G_U G_D G_G G_I G_N G_G
JUDGMENT	G_J G_U G_D G_G G_M G_E G_N G_T
JUDICIAL	G_J G_U G_D G_I G_C G_I G_A G_L
JUG	G_J G_U G_G
JUICE	G_J G_U G_I G_C G_E
JULIA	G_J G_U G_L G_I G_A
JULIAN	G_J G_U G_L G_I G_A G_N
JULIAN'S	G_J G_U G_L G_I G_A G_N G_S
JULY	G_J G_U G_L G_Y
JUMBLED	G_J G_U G_M G_B G_L G_E G_D
JUMPED	G_J G_U G_M G_P G_E G_D
JUNE	G_J G_U G_N G_E
JUNIPER	G_J G_U G_N G_I G_P G_E G_R
JUPITER	G_J G_U G_P G_I G_T G_E G_R
JURISDICTION	G_J G_U G_R G_I G_S G_D G_I G_C G_T G_I G_O G_N
JUST	G_J G_U G_S G_T
JUSTICE	G_J G_U G_S G_T G_I G_C G_E
JUSTIFIED	G_J G_U G_S G_T G_I G_F G_I G_E G_D
JUSTIN	G_J G_U G_S G_T G_I G_N
KALIKO	G_K G_A G_L G_I G_K G_O
KARL	G_K G_A G_R G_L
KATE'S	G_K G_A G_T G_E G_S
KEARNY	G_K G_E G_A G_R G_N G_Y
KEEN	G_K G_E G_E G_N
KEENLY	G_K G_E G_E G_N G_L G_Y
KEEP	G_K G_E G_E G_P
KEEPING	G_K G_E G_E G_P G_I G_N G_G
KEEPS	G_K G_E G_E G_P G_S
KENT	G_K G_E G_N G_T
KENTON	G_K G_E G_N G_T G_O G_N
KENTUCKY	G_K G_E G_N G_T G_U G_C G_K G_Y
KEPT	G_K G_E G_P G_T
KERCHIEFS	G_K G_E G_R G_C G_H G_I G_E G_F G_S
KEY	G_K G_E G_Y
KHOSALA	G_K G_H G_O G_S G_A G_L G_A
KICK	G_K G_I G_C G_K
KIDS	G_K G_I G_D G_S
KILL	G_K G_I G_L G_L
KILLED	G_K G_I G_L G_L G_E G_D
KIND	G_K G_I G_N G_D
KINDER	G_K G_I G_N G_D G_E G_R
KINDLED	G_K G_I G_N G_D G_L G_E G_D
KINDLING	G_K G_I G_N G_D G_L G_I G_N G_G
KINDLY	G_K G_I G_N G_D G_L G_Y
KINDRED	G_K G_I G_N G_D G_R G_E G_D
KINDS	G_K G_I G_N G_D G_S
KING	G_K G_I G_N G_G
KING'S	G_K G_I G_N G_G G_S
KINGDOM	G_K G_I G_N G_G G_D G_O G_M
KINGDOMS	G_K G_I G_N G_G G_D G_O G_M G_S
KINGS	G_K G_I G_N G_G G_S
KINSHIP	G_K G_I G_N G_S G_H G_I G_P
KIRKLAND	G_K G_I G_R G_K G_L G_A G_N G_D
KIRKLEATHAM	G_K G_I G_R G_K G_L G_E G_A G_T G_H G_A G_M
KISS	G_K G_I G_S G_S
KISSED	G_K G_I G_S G_S G_E G_D
KISSES	G_K G_I G_S G_S G_E G_S
KITCHEN	G_K G_I G_T G_C G_H G_E G_N
KITTENS	G_K G_I G_T G_T G_E G_N G_S
KITTY	G_K G_I G_T G_T G_Y
KITTY'S	G_K G_I G_T G_T G_Y G_S
KNACK	G_K G_N G_A G_C G_K
KNAPSACKS	G_K G_N G_A G_P G_S G_A G_C G_K G_S
KNEADING	G_K G_N G_E G_A G_D G_I G_N G_G
KNEE	G_K G_N G_E G_E
KNEES	G_K G_N G_E G_E G_S
KNELT	G_K G_N G_E G_L G_T
KNEW	G_K G_N G_E G_W
KNIFE	G_K G_N G_I G_F G_E
KNIGHT	G_K G_N G_I G_G G_H G_T
KNITTED	G_K G_N G_I G_T G_T G_E G_D
KNOCK	G_K G_N G_O G_C G_K
KNOCKED	G_K G_N G_O G_C G_K G_E G_D
KNOCKER	G_K G_N G_O G_C G_K G_E G_R
KNOW	G_K G_N G_O G_W
KNOWED	G_K G_N G_O G_W G_E G_D
KNOWING	G_K G_N G_O G_W G_I G_N G_G
KNOWINGLY	G_K G_N G_O G_W G_I G_N G_G G_L G_Y
KNOWLEDGE	G_K G_N G_O G_W G_L G_E G_D G_G G_E
KNOWN	G_K G_N G_O G_W G_N
KNOWS	G_K G_N G_O G_W G_S
L	G_L
LA	G_L G_A
LABOR	G_L G_A G_B G_O G_R
LABORERS	G_L G_A G_B G_O G_R G_E G_R G_S
LABOURERS	G_L G_A G_B G_O G_U G_R G_E G_R G_S
LABOURS	G_L G_A G_B G_O G_U G_R G_S
LACKING	G_L G_A G_C G_K G_I G_N G_G
LACQUEY'S	G_L G_A G_C G_Q G_U G_E G_Y G_S
LACRIMA	G_L G_A G_C G_R G_I G_M G_A
LAD	G_L G_A G_D
LADDER	G_L G_A G_D G_D G_E G_R
LADIES	G_L G_A G_D G_I G_E G_S
LADS	G_L G_A G_D G_S
LADY	G_L G_A G_D G_Y
LADY'S	G_L G_A G_D G_Y G_S
LAID	G_L G_A G_I G_D
LAKE	G_L G_A G_K G_E
LAMB	G_L G_A G_M G_B
LAMENTABLY	G_L G_A G_M G_E G_N G_T G_A G_B G_L G_Y
LAMENTATIONS	G_L G_A G_M G_E G_N G_T G_A G_T G_I G_O G_N G_S
LAMENTS	G_L G_A G_M G_E G_N G_T G_S
LAMP	G_L G_A G_M G_P
LAMPLIGHT	G_L G_A G_M G_P G_L G_I G_G G_H G_T
LAMPS	G_L G_A G_M G_P G_S
LANCE	G_L G_A G_N G_C G_E
LAND	G_L G_A G_N G_D
LANDING	G_L G_A G_N G_D G_I G_N G_G
LANDS	G_L G_A G_N G_D G_S
LANDSCAPE	G_L G_A G_N G_D G_S G_C G_A G_P G_E
LANDSCAPES	G_L G_A G_N G_D G_S G_C G_A G_P G_E G_S
LANE	G_L G_A G_N G_E
LANGUAGE	G_L G_A G_N G_G G_U G_A G_G G_E
LANGUAGES	G_L G_A G_N G_G G_U G_A G_G G_E G_S
LANTERN	G_L G_A G_N G_T G_E G_R G_N
LANTERNS	G_L G_A G_N G_T G_E G_R G_N G_S
LAPPING	G_L G_A G_P G_P G_I G_N G_G
LARGE	G_L G_A G_R G_G G_E
LARGESS	G_L G_A G_R G_G G_E G_S G_S
